Tag             Count           Percentage

NOUN            34781           17.00%
PUNCT           23679           11.57%
VERB            23081           11.28%
PRON            18577           9.08%
ADP             17638           8.62%
DET             16285           7.96%
PROPN           12946           6.33%
ADJ             12477           6.10%
AUX             12343           6.03%
ADV             10548           5.16%
CCONJ           6707            3.28%
PART            5567            2.72%
NUM             3999            1.95%
SCONJ           3843            1.88%
X               847             0.41%
INTJ            688             0.34%
SYM             599             0.29%
